symbol	probe_id
CYP1B1-AS1	1553829_at
APOBEC3D	1553831_at
LINC00315	1553832_at
COL6A5	1553834_at
PGAM5	1553837_at
C4orf45	1553838_at
CCDC149	1553839_at
BEND2	1553842_at
C10orf67	1553843_at
SPERT	1553846_at
CCDC26	1553849_at
C21orf88	1553850_at
SPIC	1553851_at
VPS13B	1553852_at
P2RY10	1553856_s_at
IGSF22	1553857_at
ZBTB3	1553858_at
TPH1	1553859_at
DCST1	1553860_at
TCP11L2	1553861_at
WDFY4	1553863_at
GPR26	1553864_at
KIAA0825	1553868_a_at
SESN3	1553869_at
CSNK1G2-AS1	1553871_at
C17orf103	1553872_at
KLHL34	1553873_at
ZSCAN10	1553874_a_at
SAMD3	1553876_at
GOT1L1	1553878_at
C10orf91	1553880_at
MGC16142	1553881_at
ZNF99	1553883_at
CCDC108	1553886_at
SIGLECL1	1553887_at
LDHAL6A	1553888_at
MRGPRX2	1553889_at
NTN5	1553890_s_at
KLF17	1553891_at
CCDC105	1553893_at
CCDC122	1553894_at
C11orf42	1553895_at
DKFZp434L192	1553898_a_at
ZNF486	1553901_x_at
CXorf22	1553905_at
FGD2	1553906_s_at
EXD1	1553907_a_at
FAM178A	1553909_x_at
NBPF4	1553910_at
ZNF663	1553911_at
FLJ35424	1553912_at
MGC34800	1553914_at
C10orf126	1553915_at
PIKFYVE	1553917_at
LINC00479	1553918_at
C9orf62	1553919_at
C9orf84	1553920_at
SLC22A24	1553923_at
FMO9P	1553924_at
C7orf33	1553927_at
ELMOD2	1553928_at
ACER1	1553929_at
TAAR1	1553930_at
OSTCP1	1553931_at
LINC00305	1553934_at
MGC2848	1553935_at
STK32A	1553938_a_at
LRRC28	1553940_a_at
NS3BP	1553943_at
MIA2	1553944_at
GPHB5	1553945_at
DCD	1553946_at
EXOSC6	1553947_at
IQSEC3	1553949_at
ZDHHC19	1553952_at
ALG14	1553954_at
PPP1R21	1553955_at
TMEM237	1553956_at
ZNF564	1553957_at
B3GALT6	1553959_a_at
SNX21	1553960_at
RHOB	1553962_s_at
CEL	1553970_s_at
GATS	1553971_a_at
CBS	1553972_a_at
SPINK6	1553973_a_at
C22orf39	1553974_at
DPCD	1553976_a_at
CYP39A1	1553977_a_at
MEF2BNB	1553978_at
RAB7B	1553982_a_at
DTYMK	1553983_at
RASEF	1553986_at
MAPKAPK5-AS1	1553987_at
ATP6V1C2	1553989_a_at
C16orf79	1553990_at
VSIG10	1553991_s_at
NBR2	1553992_s_at
MED25	1553993_s_at
NT5E	1553994_at
ASPHD1	1553997_a_at
TRIM37	1554001_at
ARHGEF28	1554003_at
LLGL2	1554006_a_at
OSMR	1554008_at
NDST1	1554010_at
RSPO2	1554012_at
CHD2	1554014_at
USB1	1554016_a_at
RILPL1	1554017_at
GPNMB	1554018_at
CEP57L1	1554019_s_at
BICD1	1554020_at
ZNF12	1554021_a_at
CCDC13	1554022_at
MYO10	1554026_a_at
SLC4A4	1554027_a_at
TTC37	1554029_a_at
ARSB	1554030_at
FRMD4A	1554033_at
ZBTB24	1554036_at
LARP1B	1554038_at
C14orf159	1554039_at
TMEM239	1554041_at
MRAP	1554044_a_at
ZNF24	1554045_at
TXNDC9	1554047_at
DCAF8	1554049_s_at
SMPDL3B	1554050_at
CNOT1	1554052_at
SPTLC1	1554053_at
ASH1L-AS1	1554057_at
SETMAR	1554059_at
XG	1554062_at
FAM125B	1554065_at
C12orf66	1554067_at
EPHA8	1554069_at
CCDC67	1554071_at
SLFNL1	1554074_s_at
TMEM136	1554076_s_at
TMEM53	1554077_a_at
DNAJA3	1554078_s_at
GALNTL4	1554079_at
RQCD1	1554080_at
NOL9	1554082_a_at
DDX51	1554085_at
TUBGCP3	1554086_at
TIRAP	1554091_a_at
SNAPC5	1554093_a_at
ENTPD5	1554094_at
RBM33	1554095_at
MIR31HG	1554097_a_at
SPIN3	1554098_at
